,url,label,url_length,has_https,num_subdomains,Special Character Count,Suspicious Keyword Count,domain_age_days,domain_expiry_days,registrar,Unknown Registrar Status,registrar_phishing_score
0,https://www.icecream.com,0,24,1,1,5,0,11380,308,nom-iq ltd dba com laude,0,0.0
1,https://proud-lake-5717.kx7hcssq.workers.dev/,1,45,1,2,9,0,-1,-1,unknown,1,-1.0
2,https://www.stmusic.at,0,22,1,1,5,0,-1,-1,world4you internet services gmbh ( https://nic.at/registrar/61 ),0,0.0
3,http://icuwtzw.cloudaccess.host/,1,32,0,1,6,0,4223,524,enom llc,0,0.0
4,http://bcc56.freehostpro.com/,1,29,0,1,6,0,7927,107,enom inc.,0,0.0
5,http://caracasmateriais.blogspot.com/,1,37,0,1,6,0,-1,-1,unknown,1,-1.0
6,https://beternuipouli.firebaseapp.com/,1,38,1,1,6,0,-1,-1,unknown,1,-1.0
7,https://www.inkspired.ro,0,24,1,1,5,0,5858,-1,hosterion srl,0,0.0
8,http://httpp-roblox.co/users/272262810/profile,1,46,0,0,8,0,109,255,spaceship inc.,0,0.0
9,http://www.yonseidentist.com/wordpress/jp/,1,42,0,1,8,0,8854,3564,whois corp.,0,0.0
10,https://www.forvik.com,0,22,1,1,5,0,6645,293,ionos se,0,2.25
11,http://www.cryptobara.com,1,25,0,1,5,0,1378,82,domainnovations incorporated,0,0.0
12,https://www.thebestnest.co.nz,0,29,1,2,6,0,6306,-1,hoopla hosting limited,0,0.0
13,http://www.prepairweekend.nl,1,28,0,1,5,0,4655,-1,zxcs,0,0.0
14,https://membereg.com/outlook/en-us/microsoft-365/outlook/log-in.html,1,68,1,0,13,0,83,281,namecheap inc,0,0.0
